waypoint_id,row,col,cost,roughness,slope,shadow_risk,hazard_clearance,hard_hazard
121,216.000,86.000,4.774731,0.025663,0.027004,0.519108,26.314,0
122,213.500,88.500,4.557787,0.009105,0.028365,0.513503,27.071,0
123,211.000,91.000,4.457046,0.045182,0.022750,0.480498,29.243,0
124,211.000,96.000,4.389543,0.021524,0.008634,0.461438,27.414,0
125,211.000,101.000,4.285325,0.005985,0.008756,0.440158,27.000,0
126,211.000,106.000,4.429061,0.021312,0.014865,0.465914,27.414,0
127,211.000,111.000,4.274704,0.020469,0.011726,0.501304,29.243,0
128,211.000,116.000,3.976798,0.011801,0.005502,0.504932,31.314,0
129,211.000,121.000,4.174909,0.029622,0.002374,0.531363,31.000,0
130,211.000,126.000,4.125495,0.028604,0.013096,0.487772,31.000,0
131,211.000,131.000,4.496615,0.031410,0.022318,0.472325,27.870,0
132,211.000,136.000,4.787687,0.014268,0.025286,0.423392,24.041,0
133,211.000,141.000,5.153171,0.006613,0.021065,0.420071,21.213,0
134,211.000,146.000,5.812917,0.004823,0.015228,0.423813,17.556,0
135,211.000,151.000,6.675044,0.012993,0.011791,0.391307,13.728,0
136,208.500,153.500,7.013238,0.018211,0.010797,0.409571,12.728,0
137,206.000,156.000,7.796283,0.030116,0.014230,0.387998,10.243,0
138,206.000,161.000,8.450166,0.038803,0.012512,0.386383,8.414,0
139,206.000,166.000,8.820247,0.015659,0.014637,0.390615,7.000,0
140,206.000,171.000,9.603041,0.020163,0.021492,0.400542,5.243,0
141,206.000,176.000,11.018770,0.035057,0.028855,0.401938,2.414,0
142,203.500,178.500,10.674852,0.033995,0.025377,0.347319,2.828,0
143,201.000,181.000,11.005560,0.037906,0.017064,0.321137,2.000,0
144,201.000,186.000,10.278112,0.007525,0.005653,0.332889,3.000,0
145,201.000,191.000,11.336735,0.027405,0.030559,0.339865,1.414,0
146,198.500,193.500,10.702886,0.020403,0.038705,0.373019,2.828,0
147,196.000,196.000,10.930902,0.026129,0.029509,0.388919,2.414,0
148,196.000,201.000,10.143772,0.017123,0.020974,0.414393,4.000,0
149,193.500,203.500,9.325203,0.015193,0.018679,0.436428,6.000,0
150,191.000,206.000,9.389622,0.011686,0.017940,0.415855,5.657,0
151,188.500,208.500,8.948704,0.017152,0.017662,0.378070,6.657,0
152,186.000,211.000,9.094825,0.037331,0.016805,0.382233,6.657,0
153,183.500,213.500,8.394988,0.037891,0.020538,0.357172,8.485,0
154,181.000,216.000,8.022367,0.016125,0.025567,0.362521,9.243,0
155,176.000,216.000,8.867700,0.029825,0.021803,0.420910,7.414,0
156,171.000,216.000,9.336755,0.019944,0.008489,0.449722,6.000,0
157,166.000,216.000,9.768515,0.026890,0.019054,0.413803,5.000,0
158,161.000,216.000,9.920737,0.040760,0.038277,0.395174,5.000,0
159,156.000,216.000,9.726922,0.023650,0.041747,0.320648,4.828,0
160,151.000,216.000,9.821619,0.018954,0.029422,0.242935,4.000,0
161,146.000,216.000,9.713104,0.001642,0.025973,0.256530,4.000,0
162,141.000,216.000,9.441709,0.025779,0.034052,0.234702,5.000,0
163,136.000,216.000,9.124133,0.012290,0.033653,0.289043,5.828,0
164,131.000,216.000,8.868535,0.025680,0.025880,0.355127,7.000,0
165,126.000,216.000,8.077179,0.015007,0.018373,0.370435,9.000,0
166,121.000,216.000,7.499936,0.016949,0.015872,0.407195,11.071,0
167,116.000,216.000,6.835586,0.011536,0.018664,0.403945,13.314,0
168,113.500,218.500,7.377405,0.013487,0.020380,0.385164,11.314,0
169,111.000,221.000,7.478552,0.023014,0.023153,0.394525,11.314,0
170,108.500,223.500,7.999647,0.021463,0.024278,0.435601,9.899,0
171,106.000,226.000,8.360263,0.017349,0.023804,0.452907,8.828,0
172,103.500,228.500,8.932773,0.039820,0.018633,0.494383,7.828,0
173,101.000,231.000,9.732358,0.026790,0.018621,0.522036,5.657,0
174,98.500,233.500,9.325284,0.022937,0.026314,0.511174,6.657,0
175,96.000,236.000,9.241979,0.041751,0.036504,0.490839,7.243,0
176,93.500,238.500,8.494700,0.059457,0.039413,0.433684,9.414,0
177,91.000,241.000,7.670061,0.021243,0.032033,0.342811,10.414,0
178,88.500,243.500,6.865236,0.009986,0.019144,0.349498,12.728,0
179,86.000,246.000,6.360726,0.030207,0.019214,0.310395,14.899,0
180,81.000,246.000,6.175201,0.048649,0.025883,0.312566,16.414,0
181,76.000,246.000,5.610450,0.018494,0.019749,0.364223,18.485,0
182,71.000,246.000,5.307473,0.027380,0.012354,0.380456,20.414,0
183,66.000,246.000,5.071197,0.029584,0.016080,0.398819,22.243,0
184,61.000,246.000,4.653771,0.030933,0.017895,0.344235,24.314,0
185,56.000,246.000,4.197286,0.003513,0.017401,0.353084,26.385,0
186,51.000,246.000,3.861848,0.008992,0.011529,0.310587,28.456,0
187,46.000,246.000,3.674229,0.010620,0.016774,0.317783,30.698,0
188,41.000,246.000,3.619360,0.014160,0.024675,0.367282,33.112,0
189,36.000,246.000,3.437232,0.012910,0.022072,0.399404,35.941,0
190,33.500,248.500,3.525307,0.014688,0.019220,0.405004,34.941,0
191,31.000,251.000,3.511626,0.019791,0.013923,0.409431,35.355,0
192,28.500,253.500,3.506381,0.011358,0.010914,0.440717,35.355,0
193,26.000,256.000,3.318477,0.002489,0.017970,0.434541,37.355,0
194,23.500,258.500,3.434199,0.019723,0.022556,0.434861,37.769,0
195,21.000,261.000,3.256501,0.010080,0.025377,0.441730,39.941,0
196,18.500,263.500,3.438138,0.042195,0.028513,0.435346,40.698,0
197,16.000,266.000,3.252070,0.024518,0.025816,0.466995,42.870,0
198,13.500,268.500,3.165654,0.023177,0.020474,0.461428,43.627,0
